OTU ID	GMT-CLC	GMT-CLC-SUB	GMT-GLC	GMT-GLC-SUB	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU86	0	51	0	0	GS|97.2|GU067749|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Chaetomium,s:Chaetomium globosum	Chaetomium globosum	20	Pathotroph-Saprotroph-Symbiotroph	Dung Saprotroph-Endophyte-Wood Saprotroph	Highly Probable	Microfungus	Soft Rot	Broad host range	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Worrall JJ, et al. 1997. Mycologia 89: 199-219; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:125688
OTU106	0	1	8	39	GS|99.6|EU480194|SH1505876.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU150	0	47	0	1	GS|98.8|EU480196|SH1643543.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU129	16	6	0	25	GS|100.0|MH474512|SH1645098.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta,s:Coniochaeta polymorpha	Coniochaeta	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Damm U, et al. 2010. Persoonia 24:60-80; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); Irinyi L, et al. 2015. Medical Mycology 53:313-337; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU90	3	44	0	0	GS|100.0|LT609509|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae	Chaetomiaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph	Possible	Microfungus	Soft Rot	Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926
OTU92	0	17	2	28	SS|1.0000|EF159436|SH1156438.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU104	36	4	5	2	US|0.9194|None;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	-	-	-	-	-	-	-	Unassigned	-
OTU99	10	4	8	24	GS|100.0|KT150691|SH1515073.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Aureobasidiaceae,g:Aureobasidium	Aureobasidium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen-Undefined Saprotroph	Possible	Facultative Yeast	NULL	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Wachowska U, Glowacka K. 2014. Biocontrol 59:pp 635-645; Irinyia L, Lacknerb M, de Hoog GS, Meyer W. 2016. Fungal Biology 120:125-136; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU93	31	1	13	0	GDL|100.0|AF321581|SH1521266.08FU;	-	-	-	-	-	-	-	Unassigned	-
OTU130	0	44	0	0	US|0.9611|MH239276|NA;k:Rhizaria,p:Cercozoa	-	-	-	-	-	-	-	Unassigned	-
OTU103	0	14	0	29	GS|98.2|EF392523|SH1143044.08FU;k:Fungi,p:Basidiobolomycota,c:Basidiobolomycetes,o:Basidiobolales,f:Basidiobolaceae,g:Basidiobolus,s:Basidiobolus microsporus	Basidiobolaceae	9	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Basidiobolus ranarum is commonly present in decaying fruit and vegetable matter, and as a commensal in the intestinal tract of frogs, toads, and lizards - Cause of subcutaneous zygomycosis in humans (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU112	1	32	1	8	GS|98.8|KY590726|NA;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	Mortierellaceae	9	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Possible	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
OTU143	1	0	39	2	US|0.8846|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	Eurotiales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU91	9	33	0	0	GS|99.5|MH240808|NA;k:Fungi,p:Ascomycota,c:Arthoniomycetes,o:Lichenostigmatales,f:Phaeococcomycetaceae,g:Phaeococcomyces	Phaeococcomyces	13	Saprotroph	Undefined Saprotroph	Probable	Facultative Yeast	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU128	8	24	1	9	GS|97.5|KX515412|SH1143313.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Tubeufiales	-	-	-	-	-	-	-	Unassigned	-
OTU478	8	7	3	24	US|0.8433|JX984791|SH1147926.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	-	-	-	-	-	-	-	Unassigned	-
OTU123	1	18	2	20	GS|98.3|EU479772|SH1188588.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU138	0	40	1	0	US|0.9927|KT225532|SH1156054.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU135	12	24	3	0	GS|99.1|JX360615|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU109	0	0	0	39	US|0.9424|None;k:Viridiplantae,p:Marchantiophyta,c:Jungermanniopsida,o:Porellales	-	-	-	-	-	-	-	Unassigned	-
OTU117	28	0	10	0	US|0.8884|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	Eurotiales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU102	0	0	0	38	GS|97.6|MG433354|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU146	5	13	2	18	US|0.9226|KX515412|SH1143313.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU107	19	18	0	0	US|0.9484|JX043152|SH1157112.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU108	6	30	1	0	GS|97.2|KX908527|SH1144170.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU120	0	33	0	4	SS|0.9000|LC203991|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	-	-	-	-	-	-	-	Unassigned	-
OTU95	0	3	0	33	GS|100.0|KP183998|SH1555302.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae,g:Darksidea,s:Darksidea alpha	Darksidea	13	Symbiotroph	Endophyte	Highly Probable	Dark Septate Endophyte	NULL	NULL	Knapp DG, et al. 2015. Persoonia 35:87-100
OTU192	36	0	0	0	US|0.9079|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	-	-	-	-	-	-	-	Unassigned	-
OTU187	0	35	0	0	US|0.8846|None;k:Alveolata,p:Dinophyta,c:Dinophyceae,o:Prorocentrales	-	-	-	-	-	-	-	Unassigned	-
OTU233	8	16	0	11	SS|1.0000|MG433173|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU131	34	0	0	0	GS|100.0|KF535949|SH1553585.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	Amanita	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
OTU148	26	8	0	0	GSL|100.0|AF182375|SH1515066.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothideaceae,g:Endoconidioma,s:Endoconidioma populi	Endoconidioma	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU169	1	29	0	4	GS|97.1|EU520594|SH1180795.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Bahusakala	Bahusakala	13	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	Apparent saprotroph spp. Isolated from plant litter and termite nest (Ruiz et al. 1996)	Ruiz RF, et al. 1996. Mycotaxon 57:463-469
OTU180	19	1	12	2	US|0.8929|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales	Eurotiales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU114	34	0	0	0	GS|99.5|HG764537|SH1191365.08FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU118	25	1	8	0	US|0.9284|LT612527|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	-	-	-	-	-	-	-	Unassigned	-
OTU134	31	3	0	0	GS|99.5|MH239711|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU194	0	0	0	34	SS|1.0000|EU480325|SH1643290.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU191	26	2	3	2	SS|0.8700|GQ510823|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	Herpotrichiellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU116	26	7	0	0	US|0.9770|JX031705|NA;k:Viridiplantae,p:Chlorophyta	-	-	-	-	-	-	-	Unassigned	-
OTU113	1	31	0	0	SS|1.0000|LT612080|NA;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU115	30	0	0	1	SS|1.0000|MF530586|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU124	30	0	1	0	US|0.9955|KC005769|SH1191355.08FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU111	8	19	0	3	US|0.9626|MG323884|SH1541727.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU152	18	8	0	4	GS|100.0|MH474051|SH1616193.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Phoma	Phoma	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Dung Saprotroph-Lichen Parasite-Litter Saprotroph-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	Richardson MJ. 1972. Transactions of the British Mycological Society 58:37-48; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; de Gruyter J, et al. 2010. Mycologia. 102:1066-1081; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074
OTU126	8	8	1	13	US|0.9079|MG433437|NA;k:Rhizaria,p:Cercozoa,o:Thaumatomonadida	-	-	-	-	-	-	-	Unassigned	-
OTU147	17	0	11	2	US|0.9208|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Umbilicariales	-	-	-	-	-	-	-	Unassigned	-
OTU196	20	0	10	0	US|0.8846|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	-	-	-	-	-	-	-	Unassigned	-
OTU105	29	0	0	0	US|0.9194|None;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales	-	-	-	-	-	-	-	Unassigned	-
OTU197	28	0	0	0	GS|100.0|KF535949|SH1553585.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	Amanita	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
OTU137	28	0	0	0	US|0.9688|None;k:Rhizaria,p:Cercozoa	-	-	-	-	-	-	-	Unassigned	-
OTU145	28	0	0	0	GS|99.0|AY843157|SH1557003.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU219	0	0	0	28	SS|1.0000|EU480325|SH1643290.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU122	27	0	0	0	GS|100.0|KF800464|SH1157272.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Phaeodothis	Phaeodothis	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU185	12	0	8	7	GS|100.0|KF535949|SH1553585.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	Amanita	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html
OTU121	8	3	0	16	SS|0.9900|GQ510484|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU141	22	0	1	3	SS|1.0000|KC965583|SH1179829.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales	Hypocreales	7	Saprotroph	Undefined Saprotroph	Possible	Microfungus	NULL	NULL	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU136	26	0	0	0	SS|1.0000|LT611203|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU179	0	23	0	2	US|0.9662|MH239503|NA;k:Rhizaria,p:Cercozoa	-	-	-	-	-	-	-	Unassigned	-
OTU338	0	25	0	0	GS|97.1|GQ521847|NA;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU127	23	0	0	0	GS|100.0|JX389274|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU133	1	10	12	0	GS|100.0|KP963610|SH1525101.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Neostagonospora	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Probable	Microfungus	NULL	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU155	4	19	0	0	GS|100.0|MH474370|SH1507720.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Mycocaliciales,f:Mycocaliciaceae,g:Mycocalicium,s:Mycocalicium victoriae	Mycocalicium	13	Symbiotroph	Lichenized	Possible	Thallus	NULL	Lichenized and non-licenized taxa	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU220	8	2	8	5	US|0.9077|MG433927|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	-	-	-	-	-	-	-	Unassigned	-
OTU262	14	0	7	2	US|0.9191|GU228981|SH1179152.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales	-	-	-	-	-	-	-	Unassigned	-
OTU384	13	0	9	1	US|0.9079|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Trapeliales	-	-	-	-	-	-	-	Unassigned	-
OTU132	1	20	1	0	GS|97.8|JX362648|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	Sporormiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	Probable	Microfungus	NULL	Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU153	22	0	0	0	GS|97.1|KY633581|SH1509596.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Claussenomyces	Claussenomyces	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU165	19	3	0	0	SS|0.9400|MG065775|SH1575721.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU154	20	0	1	0	GS|100.0|MH010351|SH1645865.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormiella,s:Sporormiella minima	Sporormiella	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
OTU174	0	0	21	0	SS|1.0000|KY439896|SH1614766.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae	Acarosporaceae	9	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Lichenized with green algae, usually on rocks and often in nutrient-enriched habitats (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU198	17	0	4	0	GS|98.7|DQ525528|SH1215204.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Acarosporales,f:Acarosporaceae,g:Acarospora	Acarospora	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU367	0	0	0	21	GS|98.9|KY114913|SH1194830.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	Monosporascus	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
OTU142	12	0	9	0	US|0.9194|None;k:Metazoa,p:Arthropoda,c:Malacostraca,o:Amphipoda	-	-	-	-	-	-	-	Unassigned	-
OTU158	20	0	1	0	SS|1.0000|EU480325|SH1643290.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU176	16	0	5	0	GDL|100.0|AY029045|SH1217502.08FU;	-	-	-	-	-	-	-	Unassigned	-
OTU161	0	20	0	0	SS|1.0000|JX318511|SH1180370.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae	Lophiostomataceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU199	20	0	0	0	GS|97.3|DQ420819|SH1556694.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Biappendiculispora	Biappendiculispora	13	Saprotroph	Plant Saprotroph	Highly Probable	Microfungus	NULL	Isolated from dead herbaceous stems or culms of Poaceae (Thambugala et al. 2015)	Thambugala KM, et al. 2015. Fungal Diversity 74:199-266
OTU200	1	19	0	0	US|0.9526|MG417336|NA;k:Fungi,p:Ascomycota,c:Pezizomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU221	10	2	5	3	GSL|100.0|MG720264|SH1557454.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia,s:Naganishia uzbekistanensis	-	-	-	-	-	-	-	Unassigned	-
OTU175	0	19	0	0	GSL|100.0|GQ168733|SH1573369.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae	Pleosporaceae	9	Pathotroph-Saprotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]
OTU399	12	1	1	5	GS|99.1|EU267603|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Didymella,s:Didymella tanaceti	Didymella	13	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
OTU119	7	12	0	0	SS|1.0000|KU846043|SH1557965.08FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU125	6	13	0	0	US|0.8867|JX984791|SH1147926.08FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU139	0	19	0	0	US|0.9906|MH474068|SH1195434.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	-	-	-	-	-	-	-	Unassigned	-
OTU162	19	0	0	0	US|0.9961|JX390289|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU173	0	18	0	0	GSL|100.0|MG828905|SH1555325.08FU;k:Fungi,p:Ascomycota	-	-	-	-	-	-	-	Unassigned	-
OTU183	9	1	8	0	US|0.9505|None;k:Metazoa,p:Porifera,c:Demospongiae,o:Verongida	-	-	-	-	-	-	-	Unassigned	-
OTU140	17	0	0	0	US|0.9949|None;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU151	0	0	6	11	US|0.9194|KF028767|NA;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	-	-	-	-	-	-	-	Unassigned	-
OTU170	17	0	0	0	SS|0.8900|KP991457|SH1157272.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	-	-	-	-	-	-	-	Unassigned	-
OTU181	16	1	0	0	US|0.9079|MF971991|SH1152240.08FU;k:Stramenopila,p:Ochrophyta,c:Bacillariophyceae,o:Lithodesmiales	-	-	-	-	-	-	-	Unassigned	-
OTU207	17	0	0	0	US|0.9127|MH240551|NA;k:Rhizaria,p:Cercozoa,o:Thaumatomonadida	-	-	-	-	-	-	-	Unassigned	-
OTU211	0	17	0	0	US|0.9424|MH239624|NA;k:Rhizaria,p:Cercozoa,o:Thaumatomonadida	-	-	-	-	-	-	-	Unassigned	-
OTU269	9	2	6	0	US|0.8991|MF976458|NA;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Umbilicariales	-	-	-	-	-	-	-	Unassigned	-
OTU149	0	14	0	2	GS|97.5|GQ524560|NA;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Rhynchogastremataceae,g:Papiliotrema	Tremellales	7	Pathotroph-Saprotroph-Symbiotroph	Fungal Parasite-Undefined Saprotroph	Possible	Tremelloid-Yeast	NULL	The order contains both teleomorphic and anamorphic species, most of the latter being yeasts	Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158
OTU167	16	0	0	0	GSL|97.3|MG828970|SH1556692.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Sigarispora	Lophiostomataceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge
OTU144	10	6	0	0	GDL|97.6|MG418367|NA;	-	-	-	-	-	-	-	Unassigned	-
OTU157	1	13	0	2	GS|98.4|MF971255|NA;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU178	16	0	0	0	US|0.9194|None;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales	-	-	-	-	-	-	-	Unassigned	-
OTU188	9	0	7	0	US|0.9424|None;k:Metazoa,p:Platyhelminthes,c:Cestoda,o:Cyclophyllidea	-	-	-	-	-	-	-	Unassigned	-
